id	label	description	url	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
1	gilad t. (2019)	"<table><tr><td>Authors:</td><td>gilad t.; scharf i.</td></tr><tr><td>Title:</td><td>separation between maternal and paternal effects on offspring following exposure of adult red flour beetles to two stressors</td></tr><tr><td>Source:</td><td>ecological entomology, 44(4), 494-501</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1111/een.12726	-0.7143	0.1826	3	111	19	0	0	2019	0	0
2	gonzález-rojo s. (2019)	"<table><tr><td>Authors:</td><td>gonzález-rojo s.; lombó m.; fernández-díez c.; herráez m.p.</td></tr><tr><td>Title:</td><td>male exposure to bisphenol a impairs spermatogenesis and triggers histone hyperacetylation in zebrafish testes</td></tr><tr><td>Source:</td><td>environmental pollution, 368-379</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1016/j.envpol.2019.01.127	-0.3283	-0.3879	1	67	20	1	0.6452	2019	1	0.6452
3	wimmer m.e. (2019)	"<table><tr><td>Authors:</td><td>wimmer m.e.; vassoler f.m.; white s.l.; schmidt h.d.; sidoli s.; han y.; garcia b.a.; pierce r.c.</td></tr><tr><td>Title:</td><td>impaired cocaine-induced behavioral plasticity in the male offspring of cocaine-experienced sires</td></tr><tr><td>Source:</td><td>european journal of neuroscience, 49(9), 1115-1126</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1111/ejn.14310	-0.1745	0.3586	1	72	22	1	0.6452	2019	1	0.6452
4	azadi m. (2019)	"<table><tr><td>Authors:</td><td>azadi m.; azizi h.; haghparast a.</td></tr><tr><td>Title:</td><td>paternal exposure to morphine during adolescence induces reward-resistant phenotype to morphine in male offspring</td></tr><tr><td>Source:</td><td>brain research bulletin, 147, 124-132</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1016/j.brainresbull.2019.02.004	-0.1293	0.4634	1	51	17	1	0.6452	2019	1	0.6452
5	yeshurun s. (2019)	"<table><tr><td>Authors:</td><td>yeshurun s.; hannan a.j.</td></tr><tr><td>Title:</td><td>transgenerational epigenetic influences of paternal environmental exposures on brain function and predisposition to psychiatric disorders</td></tr><tr><td>Source:</td><td>molecular psychiatry, 24(4), 536-548</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1038/s41380-018-0039-z	-0.2298	-0.0721	1	192	70	15	9.6774	2019	15	9.6774
6	zhang x. (2019)	"<table><tr><td>Authors:</td><td>zhang x.; dong y.; sun g.; hasan a.a.; tian m.; zeng s.; li j.; zeng s.; ma j.; li j.; hocher b.</td></tr><tr><td>Title:</td><td>paternal programming of liver function and lipid profile induced by a paternal pre-conceptional unhealthy diet: potential association with altered gut microbiome composition</td></tr><tr><td>Source:</td><td>kidney and blood pressure research, 44(1), 133-148</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1159/000497487	-0.1526	-0.8221	1	100	14	0	0	2019	0	0
7	baskin j.m. (2019)	"<table><tr><td>Authors:</td><td>baskin j.m.; baskin c.c.</td></tr><tr><td>Title:</td><td>how much influence does the paternal parent have on seed germination?</td></tr><tr><td>Source:</td><td>seed science research, 29(1), 1-11</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1017/s0960258518000417	-0.6625	0.7787	3	38	28	0	0	2019	0	0
8	spindler c. (2019)	"<table><tr><td>Authors:</td><td>spindler c.; segabinazi e.; de meireles a.l.f.; piazza f.v.; mega f.; dos santos salvalaggio g.; achaval m.; elsner v.r.; marcuzzo s.</td></tr><tr><td>Title:</td><td>paternal physical exercise modulates global dna methylation status in the hippocampus of male rat offspring</td></tr><tr><td>Source:</td><td>neural regeneration research, 14(3), 491-500</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.4103/1673-5374.245473	0.0134	-0.1033	1	94	27	1	0.6452	2019	1	0.6452
9	klastrup l.k. (2019)	"<table><tr><td>Authors:</td><td>klastrup l.k.; bak s.t.; nielsen a.l.</td></tr><tr><td>Title:</td><td>the influence of paternal diet on sncrna-mediated epigenetic inheritance</td></tr><tr><td>Source:</td><td>molecular genetics and genomics, 294(1)</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1007/s00438-018-1492-8	-0.4705	-0.4642	1	159	41	1	0.6452	2019	1	0.6452
10	cheng p.j. (2019)	"<table><tr><td>Authors:</td><td>cheng p.j.; pastuszak a.w.; hotaling j.m.</td></tr><tr><td>Title:</td><td>is it time to start folate supplementation in men? the effect of paternal folate status on embryonic growth</td></tr><tr><td>Source:</td><td>fertility and sterility, 111(2), 251-252</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1016/j.fertnstert.2018.11.017	0.0703	-0.8166	1	25	4	0	0	2019	0	0
11	ibn lahmar andaloussi z. (2019)	"<table><tr><td>Authors:</td><td>ibn lahmar andaloussi z.; taghzouti k.; abboussi o.</td></tr><tr><td>Title:</td><td>behavioural and epigenetic effects of paternal exposure to cannabinoids during adolescence on offspring vulnerability to stress</td></tr><tr><td>Source:</td><td>international journal of developmental neuroscience, 72, 48-54</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1016/j.ijdevneu.2018.11.007	-0.0705	-0.3363	1	122	18	1	0.6452	2019	1	0.6452
12	lafont m. (2019)	"<table><tr><td>Authors:</td><td>lafont m.; goncalves p.; guo x.; montagnani c.; raftos d.; green t.</td></tr><tr><td>Title:</td><td>transgenerational plasticity and antiviral immunity in the pacific oyster (crassostrea gigas) against ostreid herpesvirus 1 (oshv-1)</td></tr><tr><td>Source:</td><td>developmental and comparative immunology, 91, 17-25</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1016/j.dci.2018.09.022	-1.1323	0.2555	3	21	10	2	1.2903	2019	2	1.2903
13	pataia v. (2019)	"<table><tr><td>Authors:</td><td>pataia v.; papacleovoulou g.; nikolova v.; samuelsson a.-m.; chambers s.; jansen e.; taylor p.d.; poston l.; williamson c.</td></tr><tr><td>Title:</td><td>paternal cholestasis exacerbates obesity-associated hypertension in male offspring but is prevented by paternal ursodeoxycholic acid treatment</td></tr><tr><td>Source:</td><td>international journal of obesity, 43(2), 319-330</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1038/s41366-018-0095-0	-0.5188	-0.3428	1	158	19	1	0.6452	2019	1	0.6452
14	chang r.c. (2019)	"<table><tr><td>Authors:</td><td>chang r.c.; wang h.; bedi y.; golding m.c.</td></tr><tr><td>Title:</td><td>preconception paternal alcohol exposure exerts sex-specific effects on offspring growth and long-term metabolic programming</td></tr><tr><td>Source:</td><td>epigenetics and chromatin, 12(1)</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1186/s13072-019-0254-0	0.2206	-0.128	1	206	78	2	1.2903	2019	2	1.2903
15	morgan c.p. (2019)	"<table><tr><td>Authors:</td><td>morgan c.p.; chan j.c.; bale t.l.</td></tr><tr><td>Title:</td><td>driving the next generation: paternal lifetime experiences transmitted via extracellular vesicles and their small rna cargo</td></tr><tr><td>Source:</td><td>biological psychiatry, 85(2), 164-171</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1016/j.biopsych.2018.09.007	-0.3487	-0.3268	1	205	59	1	0.6452	2019	1	0.6452
16	yang f. (2019)	"<table><tr><td>Authors:</td><td>yang f.; yuan w.; liang h.; song x.; yu y.; gelaye b.; miao m.; li j.</td></tr><tr><td>Title:</td><td>preconceptional paternal antiepileptic drugs use and risk of congenital anomalies in offspring: a nationwide cohort study</td></tr><tr><td>Source:</td><td>european journal of epidemiology</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1007/s10654-019-00509-2	0.4315	0.6072	2	20	10	0	0	2019	0	0
