"","Title.x","Doi.x","Year","Taxon","Species","Social_mating_system","Mating_in_study","Source_of_population","Exposure_stage","Exposure_category","Exposure_factor","Proximate_mechanisms","Maternal_effects","Maternal_effectcs_control","Latest_offspring_stage","Embryo_traits","Just_born_hatched_traits","Larvae_traits","Juveniles_traits","Adult_traits","Trait_list","Grand_offspring_traits","Grand_offspring_stage","Sex_specific_effects","Maternal_exposure","Offspring_exposure","Comments","link","id","label","Title.y","Doi.y","x","y","cluster","weight.Links.","weight.Total.link.strength.","weight.Citations.","weight.Norm..citations.","score.Pub..year.","score.Citations.","score.Norm..citations."
"1","cross-generation effects due to cold exposure in drosophila serrata","10.1046.j.1365.2435.2003.00774.x",2003,"arthropod","Drosophila serrata","polygamy – promiscuity","with mate choice","captive","as adult","Abiotic habitat","cold temperature (0 C) shock","does not assess","no",NA,"adults",NA,NA,NA,NA,"morphology, survival, fecundity","fitness, development time, viability, number of offspring and wing size","phenotype & fitness (survival or fecundity)","adults","yes","diallel","no",NA,"10.1046.j.1365.2435.2003.00774.x",378,"magiafoglou a. (2003)","cross-generation effects due to cold exposure in drosophila serrata","10.1046.j.1365.2435.2003.00774.x",-0.958,0.6908,3,51,29,43,0.9247,2003,43,0.9247
"2","depressive-like behavior is elevated among offspring of parents exposed to dim light at night prior to mating","10.1016.j.psyneuen.2017.06.004",2017,"non-human mammal","Phodopus sungorus","polygamy – promiscuity","without mate choice","captive","as adult","Abiotic habitat","Exposure to dim light at night for 9 weeks","does not assess","no",NA,"adults",NA,"other",NA,NA,"gene expression, behavior","depressive-like behaviors and hippocampal expression of glucocorticoid (GR) and melatonin (MT1) receptor expression, sex ratio","no",NA,"no","diallel","no",NA,"10.1016.j.psyneuen.2017.06.004",102,"cissé y.m. (2017)","depressive-like behavior is elevated among offspring of parents exposed to dim light at night prior to mating","10.1016.j.psyneuen.2017.06.004",-0.5544,0.101,1,77,15,3,0.4286,2017,3,0.4286
"3","parental environmental effects on life history in the herbaceous plant campanula americana","10.1890.0012.9658(2001)082[2781:peeolh]2.0.co;2",2001,"plant","Campanula americana","polygamy – promiscuity","without mate choice","wild brought into captivity","as juvenile, as adult","Abiotic habitat","three light levels, three levels on nutrients","does not assess","yes – maternal effects","natural external fertilization","just born / hatched","survival",NA,NA,NA,NA,"percentage germination and proportion spring germination","no",NA,"no","diallel","no",NA,"10.1890.0012.9658(2001)082[2781:peeolh]2.0.co;2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","parental exposure to dim light at night prior to mating alters offspring adaptive immunity","10.1038.srep45497",2017,"non-human mammal","Phodopus sungorus","polygamy – promiscuity","without mate choice","captive","as adult","Abiotic habitat","exposure do dim light (or darkness) as noght for 9 weeks","does not assess","no",NA,"adults",NA,NA,NA,NA,"gene expression, physiology","Delayed Type Hypersensitivity (DTH), immune response to Keyhole Limpet Hemocyanin (KLH), global splean methylation, gene expression","no",NA,"yes","diallel","no",NA,"10.1038.srep45497",124,"cissé y.m. (2017a)","parental exposure to dim light at night prior to mating alters offspring adaptive immunity","10.1038.srep45497",-0.7081,-0.3854,1,10,11,5,0.7143,2017,5,0.7143
"5","the effect of maternal and paternal environments on seed characters in the herbaceous plant campanula americana (campanulaceae)","10.2307.2657035",2001,"plant","Campanula americana","polygamy – promiscuity","without mate choice","wild brought into captivity","as juvenile, as adult","Abiotic habitat","three light levels and three nutrient levels","does not assess","yes – maternal effects","natural external fertilization","just born / hatched","morphology, survival, other","other",NA,NA,NA,"seed number per fruit, individual seed mass, number of days to germination, and percentage germination; germination = hatching","no",NA,"yes","diallel","no",NA,"10.2307.2657035",393,"galloway l.f. (2001a)","the effect of maternal and paternal environments on seed characters in the herbaceous plant campanula americana (campanulaceae)","10.2307.2657035",-1.3533,0.7196,3,25,28,99,2.193,2001,99,2.193
"6","incorporation of [3h]uridine by mouse embryos with abnormalities induced by parental hyperthermia","10.1095.biolreprod15.5.632",1976,"non-human mammal","Mus musculus","polygamy – promiscuity","unclear","captive","as adult","Abiotic habitat","heat exposure for 24 hours","does not assess","no","other","embryos","physiology",NA,NA,NA,NA,"incorporation of [3H]uridine by pre-inplnatation embryos studied in vitro","no",NA,"no","diallel","no",NA,"10.1095.biolreprod15.5.632",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","trans-generational maternal effect: temperature influences egg size of the offspring in atlantic salmon salmo salar","10.1111.jfb.13040",2016,"fish","Salmo salar","polygamy – promiscuity","without mate choice","wild brought into captivity","as adult","Abiotic habitat","heated water","does not assess","yes – maternal effects","artificial insemination","adults",NA,NA,NA,"morphology","morphology, fecundity","size and mass of offspring at smolting and at maturation, mass of eggs laid by female offspring","no",NA,"one sex measured only","diallel","no",NA,"10.1111.jfb.13040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","adaptive maternal and paternal effects: gamete plasticity in response to parental stress","10.1111.1365.2435.12195",2014,"other invertebrate","Hydroides diramphus","polygamy – promiscuity","without mate choice","wild brought into captivity","as adult","Abiotic habitat","water salinity","correlative assessment","yes – maternal effects","in-vitro fertilization","larvae",NA,NA,"survival",NA,NA,"survival in 4 time points under diffrent salinity conditions","no",NA,"no","diallel","yes",NA,"10.1111.1365.2435.12195",252,"jensen n. (2014)","adaptive maternal and paternal effects: gamete plasticity in response to parental stress","10.1111.1365.2435.12195",-1.0633,0.567,3,55,28,29,0.7736,2014,29,0.7736
"9","grandparental effects in marine sticklebacks: transgenerational plasticity across multiple generations","10.1111.jeb.12490",2014,"fish","Gasterosteus aculeatus","polygamy – promiscuity","without mate choice","wild brought into captivity","as juvenile","Abiotic habitat","water temperature","does not assess","yes – maternal effects","in-vitro fertilization","juveniles",NA,"survival",NA,"morphology",NA,"hatching success, body length of jouveniles at 3 time points at different temperatures","phenotype","juveniles","no","diallel","yes",NA,"10.1111.jeb.12490",241,"shama l.n.s. (2014)","grandparental effects in marine sticklebacks: transgenerational plasticity across multiple generations","10.1111.jeb.12490",-0.7778,0.4869,3,62,31,51,1.3605,2014,51,1.3605
"10","separation between maternal and paternal effects on offspring following exposure of adult red flour beetles to two stressors","10.1111.een.12726",2019,"arthropod","Tribolium castaneum","polygamy – promiscuity","without mate choice","captive","as adult","Abiotic habitat","cold exposure (4 C for 90 min) 4 time and starvation for 3 days","does not assess","unclear",NA,"larvae",NA,NA,"morphology, other",NA,NA,"larval mass, larval starvation tolerance","no",NA,"no","diallel","yes",NA,"10.1111.een.12726",1,"gilad t. (2019)","separation between maternal and paternal effects on offspring following exposure of adult red flour beetles to two stressors","10.1111.een.12726",-0.7143,0.1826,3,111,19,0,0,2019,0,0
